Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     39.6,     37.8,     34.6,     30.7,     21.7,     22.9,     19.1,     20.8,     21.6,     28.5,     31.1,     37.3,     39.6,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     36.9,     38.6,     38.3,     31.4,     25.2,     18.3,     19.2,     22.5,     20.2,     26.5,     35.7,     35.6,     38.6,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     37.1,     39.6,     34.3,     28.7,     26.2,     21.3,     17.6,     17.9,     28.9,     32.2,     33.3,     33.8,     39.6,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     40.6,     37.8,     33.7,     26.2,     22.7,     18.3,     17.2,     18.9,     23.3,     31.6,     32.3,     39.4,     40.6,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     41.7,     40.5,     36.7,     29.6,     27.2,     19.0,     19.4,     21.7,     24.7,     35.8,     34.4,     35.2,     41.7,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     36.9,     38.8,     36.7,     29.4,     22.8,     19.4,     20.0,     21.1,     22.8,     29.4,     35.0,     38.3,     38.8,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     40.0,     37.8,     35.6,     33.3,     25.0,     20.6,     20.0,     21.7,     20.6,     26.7,     30.6,     36.1,     40.0,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     38.3,     39.4,     36.7,     35.0,     29.7,     23.0,     17.8,     19.4,     24.9,     34.0,     36.0,     40.0,     40.0,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     38.3,     36.5,     37.5,     30.5,     22.5,     16.8,     19.4,     20.0,     24.0,     30.0,     35.3,     38.9,     38.9,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     41.5,     36.5,     33.2,     24.5,     23.2,     19.2,     17.0,     21.8,     25.3,     24.3,         ,         ,         ,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,         ,         ,     35.5,     30.0,     23.0,     25.3,     20.7,     21.0,     24.7,     25.0,     31.7,     38.3,         ,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     40.2,     37.0,     37.0,     32.5,     25.4,     21.7,     23.5,     23.9,     24.5,     31.0,     33.0,     40.2,     40.2,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     41.4,     39.5,     36.7,     30.5,     25.7,     22.4,     21.4,     20.0,     26.4,     32.8,     37.4,     38.7,     41.4,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     40.0,     39.6,     36.0,     33.6,     24.8,     19.0,     17.2,     24.0,     24.5,     30.1,     39.9,     40.6,     40.6,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     40.8,     39.0,     37.0,     27.6,     24.8,     19.7,     19.6,     20.5,     24.9,     34.0,     33.6,     39.2,     40.8,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     43.4,     37.7,     37.4,     25.4,     28.6,     18.6,     20.3,     24.0,         ,     27.5,     32.5,     34.5,         ,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,     39.5,     33.6,     34.7,         ,     27.0,     17.0,     19.2,     18.2,     26.5,     33.4,     29.3,     34.3,         ,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,     37.0,     41.4,     32.7,     30.0,     24.9,     21.0,     20.5,     22.2,     28.5,     32.0,     38.0,     38.2,     41.4,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,     39.3,     38.0,     35.6,     28.5,     25.0,     21.5,     20.7,     21.4,     26.5,     31.0,     32.8,         ,         ,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,     42.1,     40.6,     36.3,     31.6,     19.7,     24.1,     18.0,     18.4,     21.6,     30.1,     33.6,     34.5,     42.1,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1985     ,     40.5,     41.5,     38.0,     27.2,         ,     22.0,     19.0,     19.5,     26.0,     30.0,     34.0,     36.0,         ,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1986     ,         ,     37.0,     33.8,         ,     24.2,     21.1,     17.5,     18.9,     24.7,         ,         ,     36.5,         ,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1987     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     32.5,     39.0,         ,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1988     ,     40.0,     39.0,     39.5,     32.5,     24.5,     22.5,     21.0,     19.5,     28.0,     33.0,     33.0,     35.0,     40.0,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1989     ,     41.0,     41.0,     33.0,     33.0,     26.0,     21.0,     18.5,     23.0,     23.0,     23.0,     36.5,     36.0,     41.0,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1990     ,     37.5,     38.0,     39.0,     28.5,     24.0,     19.6,     19.0,     19.4,     28.5,     32.7,     35.8,     36.1,     39.0,QC,#
dx,  9111,Highest monthly temperature in degrees C                                                                                                                                                                ,1991     ,     43.5,     44.5,     37.9,     34.1,     27.1,     18.8,     20.8,     22.4,     23.2,     31.1,     35.7,     40.0,     44.5,QC,#
