Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     35.6,     35.7,     27.9,     28.7,     26.7,     20.6,     18.3,     22.2,     23.2,     25.0,     23.6,     27.6,     35.7,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     37.2,     25.6,     24.4,     28.9,     23.3,     20.0,     17.2,     22.8,     17.8,     21.1,     35.6,     23.3,     37.2,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     28.3,     25.0,     35.0,     33.3,     22.8,     21.7,     20.0,     23.3,     25.0,     22.2,     21.1,     21.7,     35.0,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1960     ,     24.4,     26.9,     22.2,     22.2,     23.3,     20.0,     16.1,     18.3,     20.3,     24.6,     21.3,     23.9,     26.9,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1961     ,     27.2,     29.9,     34.8,     25.1,     23.9,     20.7,     18.3,     20.4,     27.4,     24.1,     23.7,     22.9,     34.8,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1962     ,     24.4,     26.0,     28.6,     32.4,     25.6,     21.8,     21.2,     21.1,     23.6,     21.7,     37.7,     26.7,     37.7,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1963     ,     25.4,     25.0,     26.9,     29.4,     25.0,     19.1,     18.3,     20.0,     22.2,     28.3,     25.4,     33.9,     33.9,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1964     ,     27.4,     27.3,     30.3,     26.8,     27.9,     21.1,     18.6,     20.6,     18.7,     21.7,     23.4,     22.3,     30.3,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     27.8,     27.2,     27.9,     25.9,     22.4,     22.4,     20.0,     20.2,     20.7,     26.0,     24.0,     29.0,     29.0,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     24.7,     33.2,     36.2,     23.0,     24.6,     19.4,     18.3,     20.2,     23.1,     24.6,     33.8,     24.6,     36.2,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     25.1,     26.6,     25.3,     25.0,     25.0,     22.5,     18.3,     20.0,     24.1,         ,     29.4,     27.8,         ,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     28.6,     27.2,     27.5,     25.8,     22.5,     18.3,     18.4,     21.4,         ,         ,         ,     24.6,         ,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     42.3,     30.5,     33.4,     26.7,         ,     20.6,     19.9,     20.6,     19.2,     20.0,     24.4,     26.7,         ,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     24.4,     24.4,     30.6,     26.1,     22.3,     19.5,     20.0,     21.1,     20.6,     20.0,     26.2,     25.0,     30.6,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     25.9,     26.1,     26.1,     27.9,     25.0,     20.6,     20.0,     17.8,     22.5,     20.4,     20.9,     25.6,     27.9,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     32.2,     30.6,     25.7,     32.2,     26.2,     21.6,     19.6,     19.4,     22.6,     29.9,     29.8,     25.2,     32.2,QC,#
dx,  9787,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     40.0,     25.1,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1957     ,     13.9,     11.6,     11.9,      8.3,      8.6,      7.9,      6.0,      8.2,      5.3,      6.4,     11.4,      9.4,      5.3,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1958     ,     13.9,     13.9,     12.8,     11.1,      8.9,      8.3,      6.1,      5.6,      5.6,      5.6,      8.3,     10.6,      5.6,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1959     ,     12.8,     10.0,     11.7,     11.1,      7.2,      7.8,      6.7,      5.0,      5.0,      7.8,      6.7,      8.9,      5.0,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1960     ,     10.0,     12.2,      8.3,      6.1,      7.8,      5.6,      3.6,      6.1,      5.8,      8.5,     10.6,      8.8,      3.6,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1961     ,     12.9,     13.0,     11.4,      7.8,     10.9,      9.2,      6.1,      4.6,      5.8,      5.8,      9.1,     11.6,      4.6,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1962     ,     15.0,     10.8,     13.6,     12.8,      8.1,      8.1,      6.9,      6.7,      6.4,      5.8,      7.5,     10.0,      5.8,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1963     ,     11.9,      9.9,     14.7,      5.6,     10.0,      7.4,      4.2,      5.6,      7.8,      9.3,     11.1,     12.8,      4.2,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1964     ,     10.8,     13.3,     10.6,     11.1,      6.8,      7.1,      3.3,      6.7,      3.3,      5.0,      5.6,     10.0,      3.3,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1965     ,      9.4,     13.0,     13.0,     10.6,      8.8,      5.2,      6.9,      6.3,      6.8,      9.0,      7.8,     11.9,      5.2,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1966     ,     12.6,     10.4,     10.8,      5.6,      5.6,      0.9,      3.3,      2.8,      5.6,      7.8,     10.6,     11.6,      0.9,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1967     ,      7.1,     10.0,      2.4,      4.7,      0.0,      7.3,      4.3,      3.9,      7.5,      9.1,      8.9,     10.0,      0.0,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1968     ,     12.8,     10.0,      8.9,      8.9,      4.4,      7.2,      5.8,      5.8,         ,         ,         ,      6.1,         ,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1969     ,     13.3,     10.0,     10.0,      8.8,     10.6,      5.6,      5.2,      7.3,      3.1,      8.9,     10.0,     12.2,      3.1,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1970     ,     11.7,      4.0,     13.6,      7.1,      7.2,      7.7,      7.2,      6.7,      6.1,      5.6,      8.1,      8.9,      4.0,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1971     ,     13.1,     13.8,      9.4,      7.1,      5.6,      9.4,      6.7,      5.6,      3.3,      5.0,      6.1,     11.3,      3.3,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1972     ,     11.2,     10.6,      9.8,      8.9,      8.9,      6.7,      5.0,      3.9,      4.0,      6.0,     10.0,     13.8,      3.9,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1973     ,     13.7,     10.6,     11.0,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1926     ,     22.0,     22.1,     20.0,     18.7,     17.5,     16.2,     14.2,     14.3,     16.1,     16.8,     18.8,     20.3,     18.1,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1927     ,     21.0,     20.7,     18.8,     21.3,     17.5,     14.9,     14.2,     15.2,     16.4,     17.6,     20.4,     21.4,     18.3,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1928     ,     20.6,     21.4,     20.9,     19.6,     17.7,     16.4,     15.0,     15.8,     15.3,     16.0,     18.6,     20.6,     18.2,QC,#
