Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 86060,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,         ,     36.2,     38.4,     23.2,     22.2,     17.8,     16.0,     20.9,     27.5,     33.3,     31.7,     36.6,         ,QC,#
dx, 86060,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,         ,     29.5,     37.7,     28.6,         ,         ,         ,         ,     24.8,     25.7,     34.7,     34.4,         ,QC,#
dx, 86060,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     34.7,     39.1,     31.3,     30.6,     25.0,     17.4,     17.3,     16.8,     22.9,     29.4,     36.4,     37.2,     39.1,QC,#
dx, 86060,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,         ,     41.7,     36.9,     32.5,     19.1,     17.8,     15.0,     20.4,     21.4,     28.3,     31.7,     36.4,         ,QC,#
dx, 86060,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,         ,     35.7,     32.8,     30.0,     21.7,     15.6,     17.8,     22.8,     21.4,     28.1,     31.5,     37.2,         ,QC,#
dx, 86060,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,         ,     36.2,     32.2,     27.1,     20.6,     16.0,     16.5,     19.7,     20.6,     29.0,     29.4,         ,         ,QC,#
dx, 86060,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,         ,     35.3,     32.2,     28.3,     21.1,     16.3,     15.4,     19.4,     22.4,     26.7,     29.0,     34.4,         ,QC,#
dx, 86060,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     31.8,     36.6,     32.1,     29.4,     26.4,     18.3,     19.0,     23.3,         ,         ,     32.5,     39.9,         ,QC,#
dx, 86060,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     40.5,     36.0,     30.4,     29.0,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 86060,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1965     ,         ,      8.9,      5.9,      4.4,      3.4,     -1.0,     -0.6,      3.3,      2.5,      1.1,      5.5,      6.7,         ,QC,#
dx, 86060,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1966     ,         ,     10.1,      6.7,      3.3,         ,         ,         ,         ,      3.9,      2.8,      4.7,      6.7,         ,QC,#
