Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     34.2,     31.1,     32.6,     20.8,     20.1,     17.0,     13.7,     19.2,     18.9,     26.6,     31.7,     33.3,     34.2,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     36.1,     27.2,     35.3,     24.6,     18.3,     15.3,     16.3,     17.2,     21.2,     25.5,     32.5,     28.5,     36.1,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     30.1,     35.9,     30.0,     27.8,     23.1,     17.4,     15.5,     16.3,     19.7,     23.3,     25.8,     30.7,     35.9,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     36.1,     35.6,     32.3,     21.9,     20.6,     16.7,     14.9,     15.2,     18.3,     25.6,     24.9,     28.2,     36.1,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     32.3,     33.2,     29.7,     23.2,     21.2,     15.0,     15.3,     19.5,     19.4,     25.4,     26.4,     30.1,     33.2,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     29.4,     29.6,     28.9,     26.4,     17.9,     16.7,     14.8,     15.0,     15.6,     22.2,     25.0,     28.5,     29.6,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     31.7,     33.3,     28.6,     26.4,     16.8,     16.4,     15.0,     15.8,     17.8,         ,     23.4,     29.2,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     28.6,     32.0,     30.8,     25.3,     22.5,     17.9,     14.1,     18.2,     23.5,     24.0,     25.5,     33.0,     33.0,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     37.5,     31.0,     25.5,     23.5,     19.0,     17.0,     15.0,     17.0,     25.0,     21.5,     23.5,     32.0,     37.5,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     31.0,         ,     30.0,     19.5,     20.5,     17.0,     14.5,         ,         ,         ,         ,     30.0,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     31.0,     35.6,     27.5,     24.0,     18.0,     15.5,     17.5,     15.0,     21.5,     25.5,     27.0,     32.0,     35.6,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     35.0,     28.5,     30.0,     26.0,     19.0,     14.5,     15.5,     16.0,     19.0,     19.0,     27.5,     30.0,     35.0,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     29.5,     35.0,     25.5,         ,     19.5,     14.0,     13.5,     21.5,     20.5,     29.0,     31.5,     27.0,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     29.5,     29.5,         ,     27.0,     18.5,     15.0,     14.5,     16.0,     19.0,     23.0,     28.0,     29.0,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     32.0,     33.0,     25.0,         ,         ,         ,         ,         ,         ,     24.0,     27.0,     33.5,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     27.5,     34.5,     28.0,     27.0,         ,         ,         ,         ,         ,     26.0,     31.0,     34.0,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,     35.0,     34.0,     26.0,         ,         ,         ,         ,         ,         ,         ,     27.0,     28.0,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,     37.0,     36.0,     30.0,         ,         ,         ,         ,         ,         ,     27.0,     32.5,     29.0,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,     33.0,     36.0,     34.0,         ,         ,         ,         ,         ,         ,         ,     24.0,     34.0,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,     29.0,     30.0,     29.0,         ,         ,         ,         ,         ,         ,         ,     29.0,     26.6,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1985     ,     31.8,     31.3,     33.1,         ,         ,         ,         ,         ,         ,         ,     27.0,     25.6,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1986     ,     26.4,     29.0,     30.6,     24.4,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1987     ,     29.9,     33.0,     31.0,     28.6,         ,         ,         ,         ,         ,     32.3,     33.0,     30.6,         ,QC,#
dx, 95001,Highest monthly temperature in degrees C                                                                                                                                                                ,1989     ,     33.9,     33.3,     36.1,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1965     ,     -2.9,     -1.3,     -1.1,     -6.2,     -3.7,     -6.6,     -6.9,     -6.0,     -6.2,     -7.7,     -1.1,     -1.4,     -7.7,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1966     ,      1.1,      0.1,     -1.7,      0.1,     -5.8,    -11.1,     -9.4,     -4.4,     -3.0,     -5.7,     -1.4,     -3.1,    -11.1,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1967     ,     -1.4,     -3.6,     -3.9,     -6.7,     -8.1,     -9.4,     -6.4,     -6.9,     -3.4,     -3.8,     -1.9,     -0.6,     -9.4,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1968     ,     -1.2,      1.1,     -0.4,     -0.4,     -6.7,     -6.4,     -8.0,     -6.7,     -2.7,     -6.4,     -1.6,     -2.2,     -8.0,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1969     ,         ,         ,     -0.4,     -3.6,     -8.2,     -7.2,     -4.3,     -6.1,     -5.8,     -5.4,     -0.6,      1.1,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1970     ,      2.8,     -1.1,     -2.5,     -3.1,     -3.9,     -7.8,     -5.6,     -5.8,     -3.6,     -5.3,     -2.8,     -1.4,     -7.8,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1971     ,      5.0,     -0.4,     -2.1,     -3.1,     -5.3,     -4.9,     -7.8,     -5.7,     -2.1,     -3.1,     -1.1,      0.8,     -7.8,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1972     ,         ,      2.8,     -1.7,     -4.0,     -8.9,    -12.5,     -7.5,     -6.4,     -5.0,     -2.0,     -1.0,      1.5,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1973     ,     -1.0,      2.0,     -1.5,     -3.5,     -2.5,     -6.5,     -8.0,     -5.5,     -3.0,     -3.5,     -0.5,     -1.0,     -8.0,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1974     ,      0.5,     -1.0,     -2.0,     -1.0,     -7.5,     -6.0,     -5.5,         ,         ,         ,         ,      1.0,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1975     ,      3.0,      0.0,     -4.0,     -7.0,     -5.0,     -5.0,     -5.0,     -6.0,     -4.5,     -1.0,      1.0,      1.5,     -7.0,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1976     ,      0.0,      2.5,     -1.0,     -4.0,     -7.5,     -8.0,     -9.0,     -6.0,     -7.0,      0.0,      1.5,      2.0,     -9.0,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1977     ,      2.0,      0.0,     -1.0,     -5.0,     -4.0,     -7.0,     -7.0,     -5.5,     -5.0,     -2.0,     -5.0,      1.0,     -7.0,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1978     ,      0.0,      1.0,     -2.5,     -1.0,     -1.0,     -7.5,     -8.0,     -5.0,     -4.0,     -6.0,     -3.0,      0.0,     -8.0,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1979     ,      2.0,      4.0,      0.0,         ,         ,         ,         ,         ,         ,     -2.0,      0.5,     -2.0,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1980     ,      1.0,     -2.5,      0.5,         ,         ,         ,         ,         ,         ,     -1.5,     -4.0,     -1.0,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1981     ,      3.5,     -1.0,     -0.5,         ,         ,         ,         ,         ,         ,         ,     -2.5,      1.0,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1982     ,      2.5,     -1.5,     -1.5,         ,         ,         ,         ,         ,         ,     -1.5,     -1.0,     -2.0,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1983     ,      1.0,      2.5,     -2.0,         ,         ,         ,         ,         ,         ,         ,     -0.5,      0.0,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1984     ,     -1.0,      0.0,     -1.0,         ,         ,         ,         ,         ,         ,         ,     -0.7,      1.2,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1985     ,      1.1,      0.5,      1.6,         ,         ,         ,         ,         ,         ,         ,     -0.5,      2.5,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1986     ,      1.2,     -0.3,      0.3,     -3.3,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1987     ,     -1.2,     -1.5,     -3.2,     -3.3,         ,         ,         ,         ,         ,      0.1,      1.0,     -2.0,         ,QC,#
dx, 95001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1989     ,     -0.9,      0.0,      0.2,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1965     ,     20.5,     23.2,     19.0,     14.6,     13.0,     11.7,     10.0,     12.1,     14.0,     17.9,     17.5,     22.2,     16.3,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1966     ,     24.8,     22.1,     21.0,     15.9,     13.5,     10.1,     10.0,     11.4,     13.7,     16.2,     18.9,     20.3,     16.5,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1967     ,     22.0,     24.7,     21.0,     18.0,     14.6,     12.9,     11.1,     12.0,     13.2,     17.0,     16.9,     19.3,     16.9,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1968     ,     23.9,     23.7,     20.9,     16.6,     12.3,     10.3,     10.8,     11.9,     13.3,     15.1,     15.9,     20.6,     16.3,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1969     ,     24.1,     22.2,     20.5,     16.4,     12.8,     10.6,     12.2,     13.1,     12.7,     17.3,     19.3,     18.0,     16.6,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1970     ,     21.8,     21.9,     20.2,     17.8,     12.3,     11.4,     10.4,     10.3,     11.1,     15.5,     18.5,     18.9,     15.8,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1971     ,     21.9,     24.1,     22.0,     18.5,     13.0,     11.3,     11.3,     11.1,     12.7,         ,     16.9,     20.7,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1972     ,     22.8,     26.0,     20.5,     18.2,     14.7,     11.4,      9.8,     12.3,     15.7,     17.3,     19.4,     20.1,     17.4,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1973     ,     23.3,     22.8,     18.3,     17.6,     13.6,      9.4,     11.2,     12.2,     15.0,     17.3,     17.5,     22.6,     16.7,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1974     ,     22.6,         ,     23.1,     15.6,     14.1,     11.5,      9.7,         ,         ,         ,         ,     20.1,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1975     ,     21.0,     23.2,     19.3,     16.6,     12.9,     10.8,     11.6,     10.9,     14.9,     16.5,     18.5,     22.3,     16.5,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1976     ,     22.7,     23.7,     19.9,     17.0,     13.8,     11.1,     10.5,     10.3,     12.8,     13.8,     16.9,     18.5,     15.9,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1977     ,     23.3,     23.1,     19.6,         ,     13.2,     10.5,     10.2,     13.4,     13.2,     17.9,     18.0,     19.8,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1978     ,     22.4,     22.4,         ,     16.5,     14.9,      9.9,     10.0,     10.9,     14.3,     17.3,     18.1,     19.7,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1979     ,     24.5,     23.6,     20.2,         ,         ,         ,         ,         ,         ,     17.0,     19.2,     20.9,         ,QC,#
