Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,         ,         ,         ,         ,     17.8,     10.0,      7.1,      9.6,     11.8,     19.3,     21.4,     23.8,         ,QC,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     27.6,     28.5,     25.1,     15.1,     11.6,      8.7,      6.3,      7.5,     10.3,     19.4,     19.1,     20.7,     28.5,QC,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     24.0,     26.4,     24.9,     15.0,     15.0,      7.1,      7.7,     12.7,     12.7,     19.9,     20.3,     22.5,     26.4,QC,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     22.7,     23.3,     22.0,     19.4,     11.9,     11.1,      7.2,      9.7,     12.2,     15.7,     18.9,     23.3,     23.3,QC,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     26.1,     26.0,     22.2,     20.0,     10.0,      8.2,      8.2,      6.7,     11.1,     14.9,     18.9,     21.7,     26.1,QC,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     23.9,     25.8,     21.9,     19.4,     15.6,      9.4,      8.6,     10.0,     17.0,     18.0,     21.5,     26.7,     26.7,QC,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     30.0,     23.5,     17.2,     16.6,     12.5,      9.6,      7.6,     11.0,     17.9,     16.4,     17.5,     26.0,     30.0,QC,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,         ,         ,         ,     14.5,     14.0,     10.5,      8.0,      9.0,     12.0,     15.5,     20.5,     23.0,         ,QC,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     23.5,     30.5,     21.5,     16.5,     10.5,      7.5,     11.5,      9.5,     16.0,     19.0,     21.0,     23.5,     30.5,QC,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     28.0,     22.5,     22.0,     17.5,     11.5,      8.0,      7.5,      8.0,     15.0,     14.5,     22.0,     27.0,     28.0,QC,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     26.0,     27.0,     19.0,     15.0,     12.0,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
