Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1951     ,     32.7,     31.8,     31.7,     32.4,     32.1,     31.8,     31.7,     31.6,     33.3,     32.7,     33.4,     32.1,     33.4,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1952     ,     31.9,     32.3,     31.0,     31.0,     31.2,     31.2,     31.6,     31.9,     32.8,     32.8,     32.9,     33.2,     33.2,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1953     ,     31.8,     31.1,     31.4,         ,     30.9,     31.3,     31.2,     31.1,     31.3,     32.2,     32.7,     32.1,         ,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1954     ,     31.5,     31.9,     31.4,     32.1,     30.8,     30.8,     31.1,     31.2,     31.1,     31.2,     32.2,     32.2,     32.2,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1955     ,     33.1,     30.7,     30.9,     30.9,     31.6,     31.4,     31.1,     31.1,     31.7,     30.6,     31.1,     31.7,     33.1,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1956     ,     31.7,     31.9,     31.1,     31.1,     31.4,     31.3,     31.7,     31.5,     31.6,     31.4,     31.7,     33.0,     33.0,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     32.1,     32.8,     31.3,     31.1,     31.9,     31.7,     30.8,     32.2,     31.2,     31.2,     31.7,     32.0,     32.8,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     32.2,     31.5,     31.4,     31.6,     31.7,     31.2,     30.8,     31.7,     32.3,     32.9,     32.6,     31.9,     32.9,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     34.4,     31.6,     31.7,     31.1,     31.3,     31.1,     31.0,     32.2,     31.7,     32.4,     32.8,     31.7,     34.4,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1960     ,     31.7,     31.1,     31.1,     31.6,     31.4,     31.2,     31.6,     31.7,     31.7,     32.0,     32.5,     31.7,     32.5,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1961     ,     31.9,     31.9,     31.4,     30.8,     30.8,     30.8,     31.2,     31.1,     31.7,     32.6,     32.8,     32.7,     32.8,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1962     ,     32.3,     32.3,     31.7,     31.7,     31.9,     31.7,     31.2,     31.5,     31.1,     32.2,     32.7,     32.2,     32.7,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1963     ,     31.7,     31.7,     33.0,     32.8,     31.5,     32.1,     32.2,     32.1,     31.7,     31.7,     32.3,     31.7,     33.0,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1964     ,     32.3,     31.9,     31.3,     31.3,     31.3,     31.1,     31.1,     30.6,     30.8,     31.7,     32.4,     32.2,     32.4,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     31.9,     30.9,     31.9,     30.7,     31.8,     30.7,     30.6,     30.6,     31.1,     32.2,     31.7,     32.2,     32.2,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     32.4,     31.9,     32.8,     31.7,     31.8,     32.2,     31.7,     32.2,     35.0,     32.8,     32.9,     33.8,     35.0,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     32.8,     32.2,     31.8,     31.7,     32.2,     31.7,     32.0,     32.2,     32.3,     33.3,     33.9,     32.8,     33.9,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     32.3,     31.8,     32.1,     31.7,     31.1,     31.2,     31.5,     31.7,     33.6,     34.3,     33.3,     33.3,     34.3,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,         ,     33.1,     32.2,     32.2,     32.8,     31.7,     32.9,     33.8,         ,     33.7,     33.8,     32.8,         ,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     31.8,     31.7,     32.2,     31.7,     32.2,     31.2,     32.8,     31.7,     32.2,     32.3,     33.2,     35.6,     35.6,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     34.0,     33.1,     32.2,     32.7,     32.2,     31.3,     31.7,     30.8,         ,     33.6,     33.3,     33.4,         ,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     32.8,     33.4,     34.4,     33.3,     32.7,     33.0,     32.5,     31.7,     33.0,     32.0,     33.0,     33.0,     34.4,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     33.0,     37.1,     32.0,     35.0,     32.0,     32.0,     35.5,     31.5,     32.0,     32.5,     32.5,         ,         ,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,         ,     31.4,     35.1,     32.6,     32.0,     31.5,     32.0,     31.3,     32.4,     32.7,     34.2,     32.4,         ,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     32.4,     32.2,     31.8,     31.5,     31.5,     32.0,     31.5,     31.0,     31.7,     32.1,     35.9,     32.8,     35.9,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     33.4,     32.6,     31.7,     34.9,     33.0,     32.3,     31.8,     31.6,     32.8,     32.0,     33.5,     33.0,     34.9,QC,#
dx,200245,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     32.3,     33.0,     32.1,     31.5,     32.4,     32.5,     32.5,     32.5,     32.5,         ,         ,         ,         ,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1951     ,     22.2,     21.8,     22.3,     22.3,     22.0,     22.2,     20.9,     21.7,     21.7,     21.7,     23.2,     22.1,     20.9,QC,#
