Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     31.6,     30.1,     30.8,     31.8,     32.1,         ,         ,     31.4,     31.0,     31.2,     32.4,     31.1,         ,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     31.0,     30.7,     30.6,     31.2,         ,         ,     31.4,     32.4,     31.6,     31.6,     33.2,     31.1,         ,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     30.7,     30.6,     30.4,     31.1,     32.9,     32.9,     31.7,     32.3,     31.8,     31.7,     31.2,     31.0,     32.9,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1960     ,     30.6,     30.6,     31.0,     31.8,     35.0,     33.3,     32.2,     32.2,     31.7,     31.7,     31.9,     30.0,     35.0,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1961     ,     30.0,     30.6,     31.2,     31.1,     32.8,     31.7,     31.2,     31.2,     31.8,     31.3,     31.1,     31.4,     32.8,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1962     ,     31.8,     31.1,     32.8,     32.2,     32.4,     32.2,     31.8,     31.8,     31.2,     32.2,     32.6,     32.7,     32.8,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1963     ,     31.7,     31.8,     32.3,     32.3,     32.4,     31.7,     30.8,     31.7,     31.2,     31.6,     31.6,     31.6,     32.4,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1964     ,     32.1,     31.7,     31.5,     31.9,     31.3,     31.0,     31.2,     30.4,     31.6,     31.1,     31.3,     30.9,     32.1,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     30.6,     30.4,     30.4,     37.2,     35.6,     32.5,     30.2,     30.9,     31.2,     31.7,     31.1,     31.1,     37.2,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     31.7,     31.1,     31.1,     30.6,         ,     31.1,         ,         ,         ,         ,         ,         ,         ,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,         ,     31.4,     31.9,         ,         ,         ,         ,         ,         ,     32.2,         ,         ,         ,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,         ,         ,         ,         ,     32.8,     31.1,     32.2,         ,     32.2,     31.4,     31.7,     31.9,         ,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     31.1,     31.1,     32.3,         ,     32.8,     32.3,     31.8,         ,     31.8,     32.4,     31.7,         ,         ,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     32.8,     31.7,     31.1,         ,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,         ,         ,     31.6,     32.3,     32.0,     31.2,     31.1,     31.7,     32.2,     31.7,     31.2,     31.4,         ,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     31.1,     31.6,     31.6,     31.2,     31.7,     31.6,     31.0,     31.1,     31.0,     31.4,     32.2,     31.7,     32.2,QC,#
dx,200292,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     31.4,     31.4,     31.5,     31.8,     31.4,     31.4,     30.8,     31.6,     31.4,         ,         ,         ,         ,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1957     ,     21.3,     21.3,     22.1,     21.7,     22.6,     22.0,     21.2,     21.6,     21.4,     21.8,     21.6,     21.8,     21.2,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1958     ,     22.2,     22.1,     22.4,     22.8,     22.2,     21.8,     20.7,     21.3,     21.8,     22.1,     21.2,     22.2,     20.7,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1959     ,     22.1,     21.1,     22.1,     22.2,     22.7,     21.6,     21.6,     21.6,     21.8,     21.4,     21.7,     21.1,     21.1,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1960     ,     21.8,     22.4,     22.0,     22.1,     22.2,     22.1,     21.1,     21.7,     21.7,     21.7,     21.7,     21.7,     21.1,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1961     ,     22.2,     22.2,     22.4,     21.7,     22.2,     22.2,     20.7,     21.1,     21.4,     21.7,     21.1,     22.2,     20.7,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1962     ,     22.2,     22.2,     21.1,     20.6,     22.2,     21.1,     22.8,     21.7,     21.7,     22.3,     21.9,     21.6,     20.6,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1963     ,     21.7,     21.4,     21.8,     21.8,     21.6,     21.6,     21.3,     21.2,     21.3,     21.3,     21.6,     21.8,     21.2,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1964     ,     22.7,     21.3,     21.1,     22.4,     22.2,     20.3,     21.2,     21.6,     21.4,     21.6,     21.6,     20.7,     20.3,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1965     ,     21.7,     22.4,     21.6,     21.3,     21.8,     21.3,     21.1,     21.0,     21.1,     18.3,     20.6,     21.1,     18.3,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1966     ,     22.2,     22.3,     22.2,     22.2,         ,     22.2,     21.7,     21.8,         ,         ,         ,         ,         ,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1967     ,         ,     22.3,     22.3,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1968     ,         ,         ,         ,     21.2,     21.6,     21.6,     21.7,     21.1,     21.1,     21.2,     22.2,     21.7,         ,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1969     ,     22.2,     22.3,     22.2,         ,     21.7,     22.2,     22.2,         ,     21.1,     21.6,     21.7,         ,         ,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1970     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     21.1,     22.2,     22.2,         ,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1971     ,         ,         ,     22.2,     22.2,     21.7,     21.7,     21.5,     20.7,     21.7,     21.8,     21.2,     22.3,         ,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1972     ,     22.1,     21.8,     22.2,     22.6,     22.3,     21.6,     22.1,     20.6,     20.6,     22.1,     22.4,     22.6,     20.6,QC,#
dx,200292,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1973     ,     22.6,     22.8,     22.6,     22.9,     21.8,     22.0,     22.0,     22.1,     21.7,         ,         ,         ,         ,QC,#
dx,200292,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1957     ,     29.6,     28.8,     29.4,     29.6,     30.3,         ,         ,     29.9,     29.6,     30.2,     30.2,     29.6,         ,QC,#
